work_id,name,aka,type,year_start,year_end,status,materials,scale,key_events,themes,description,confidence,sources
hearth,HEARTH,,wood-fired sculpture,2000,2000,historic,wood,large,Burning Man 2000 (theme: The Body),community; seven ages of man,Giant wood-fired sculpture at the Heart of Burning Man; co-designed/built with Syd Klinge; where Charlie met Brian Doherty,high,sparceland.com/bbb26
synapses-tour,Synapses Tour,Synapsis,community fire-cauldron tour,2005,2005,gifted to communities,steel,12-18 ft cauldrons,Six cities (NYC/Atlanta/Austin/LA/Seattle/SF) then Burning Man 2005 Fire Dream Circle,community-built; gifting; symbol system,Six workshops in six cities over six months with Jaime Ladet; each city built and kept its own fire cauldron; shown at BM 2005 in the Fire Dream Circle around Pepe Ozan's Dreamer (with Flaming Lotus Girls),high,leonardo.info; howhowhow.com/news.html; history.burningman.org afterburn 2005
contraptions,Contraptions,,fire installation,2007,2007,historic,steel/fire,—,Burning Man 2007 (Aug 27-Sep 4),contraptions; namesake of contraptionism,His 2007 BM installation literally titled 'Contraptions' — the direct root of contraptionism.com,high,howhowhow.com/news.html
triple-bypass,Triple Bypass,Quadrapass (related),fire cauldron,2006,2007,toured,steel,—,AfrikaBurn/Cape Town 2007 (Jul 21); Quadrapass NYE 2006,global art; instigating AfrikaBurn,Studio-built over 6 weeks; helped instigate AfrikaBurn; described as the first Burning-Man-represented artifact there,medium,howhowhow.com/news.html; interview 2023
hot-mama,Hot Mama,,fire-cauldron fertility effigy,2006,2015,toured,steel,—,Made 2006; Art Outside/Eyedrum 2007; Love Burn 2015,fertility; fire TV show,Part of the fertility-caldron series with Mr. Nice Guy and the Waking Rooster,medium,howhowhow.com/news.html; journal.burningman.org
mr-nice-guy,Mr. Nice Guy,,fire-cauldron fertility effigy,2007,2015,toured,steel,—,Burning Man 2007; Love Burn 2015,fertility,Companion to Hot Mama in the fertility caldron series,medium,burningman 2007 archive; journal.burningman.org
fleeble-flobbler,The Fleeble Flobbler,,rideable fire cauldron,2008,2023,toured/active,steel,22 ft tall; 8 rider seats,Burning Man 2008; Okeechobee; Suwannee Hulaween Spirit Lake 2023; festivals,inner child; American clown; ride,22-ft rotund clown fire cauldron with eight rider seats on a pivoting base; later a flame-effects machine; recurring at Hulaween Spirit Lake (2023),high,sparceland.com/ride-shift; liveandlisten.com 2023; edm.com 2023
bone-head,Bone Head,,sculpture/flame,2008,2008,shown,steel,—,Dubai Desert Rock Festival 2008 (Mar 7-8),—,Shown at Desert Rock Festival in Dubai,medium,howhowhow.com/news.html
teetering-cusps,Teetering Cusps,,kinetic fire piece,2003,2008,toured,steel,—,Starlight Drive-In 2003; End of the World 2008,teeter/kinetic,Recurring teetering fire piece across regional events,medium,howhowhow.com/news.html
tunnel-of-transformation,Tunnel of Transformation,The Tunnel,touring fire sculpture,2003,2004,toured,steel,—,TOAST/RIPE/FLIPSIDE/SYNORGY/Critical Massive/Fire Arts Fest 2004,transformation; regional touring,Black Rock Arts Foundation grant 2003 (with Michael Moss; 4 of 117 chosen); toured US regional burns 2003-04,high,howhowhow.com/news.html; history.burningman.org JRS v7-40 2003
