file,folder,work_id,subject,event,location,year,credit,source,hero,confidence,notes,rights,width,height,capture_date,status,tags
contraptions10.jpg,portfolio-images,contraptions,Contraptions installation detail,Burning Man 2007,Black Rock City NV,2007,,howhowhow.com,no,medium,Likely from the 2007 'Contraptions' piece (namesake of contraptionism),charlie-site,400,225,2007-09-18,local,burning-man-2007;charlie-site;contraptions;detail;howhowhow;namesake-of-contraptionism
fleeblesunrise.jpg,portfolio-images,fleeble-flobbler,Fleeble Flobbler at sunrise,Burning Man / festival,,2008,,sparceland/howhowhow,yes,medium,Strong sunrise shot — good hero candidate,charlie-site,300,210,,local,burning-man;charlie-site;clown;fire-cauldron;fleeble-flobbler;hero;howhowhow;inner-child;mythic-hybrid;ride;sparceland;teeter-totter
bonnarooteeter.jpg,portfolio-images,fleeble-flobbler,Teeter-totter piece at Bonnaroo,Bonnaroo,TN,,,howhowhow.com,no,low,Teeter piece at Bonnaroo; could be Fleeble Flobbler or Teetering Cusps — confirm,charlie-site,400,300,,local,bonnaroo;charlie-site;clown;fire-cauldron;fleeble-flobbler;howhowhow;inner-child;mythic-hybrid;ride;teeter-totter
bigbullysm.jpg,portfolio-images,big-bully,'Big Bully' sculpture (?),,,,,howhowhow.com,no,medium,Confirmed = Big Bully (BM 2013) via BM archive + GPT note,charlie-site,200,218,2013-05-04,local,big-bully;bull;charlie-site;congregation;fire-cauldron;howhowhow;log-sacrifice;mythic-hybrid
triplepaul.jpg,portfolio-images,triple-bypass,Triple Bypass build with Paul Jorgensen,AfrikaBurn / Cape Town,Cape Town SA,2007,Jaime Ladet,howhowhow.com,no,low,Likely Triple Bypass/AfrikaBurn with Paul Jorgensen — confirm,charlie-site,300,400,,local,afrikaburn;build;charlie-site;global-art;howhowhow;instigating-afrikaburn;triple-bypass
cock25280032.png,portfolio-images,red-hot-cock,Red Hot Cock rooster,,,,,howhowhow.com,no,medium,artwork photo (filename 'cock'),charlie-site,250,166,,local,charlie-site;community-built;congregation;contraptionism;fire-cauldron;howhowhow;jackal-rooster;log-sacrifice;mythic-hybrid;red-hot-cock;rooster;teeter-totter
contraptions07.png,portfolio-images,contraptions,Contraptions (2007),Burning Man 2007,Black Rock City NV,2007,,howhowhow.com,no,medium,artwork photo,charlie-site,250,169,,local,burning-man-2007;charlie-site;contraptions;howhowhow;namesake-of-contraptionism
hotmama07.png,portfolio-images,hot-mama,Hot Mama (2007),Burning Man 2007,Black Rock City NV,2007,,howhowhow.com,no,medium,artwork photo,charlie-site,158,250,,local,burning-man-2007;charlie-site;fertility;fire-tv-show;hot-mama;howhowhow
tunnel04.png,portfolio-images,tunnel-of-transformation,Tunnel of Transformation (2004),,,2004,,howhowhow.com,no,medium,artwork photo,charlie-site,250,167,,local,charlie-site;howhowhow;regional-touring;transformation;tunnel-of-transformation
synE10.png,portfolio-images,synapses-tour,Synapses cauldron element,,,2005,,howhowhow.com,no,low,artwork photo (syn),charlie-site,167,250,,local,charlie-site;community-built;congregation;fire-cauldron;howhowhow;regional-burning-man;symbol-system;synapses-tour
tripleburn19.png,portfolio-images,triple-bypass,Triple Bypass burn,,,,,howhowhow.com,no,low,artwork photo,charlie-site,250,169,,local,charlie-site;global-art;howhowhow;instigating-afrikaburn;triple-bypass
fleeble1.jpg,portfolio-images,fleeble-flobbler,Fleeble Flobbler,,,,,howhowhow.com,no,medium,artwork photo,charlie-site,250,166,,local,charlie-site;clown;fire-cauldron;fleeble-flobbler;howhowhow;inner-child;mythic-hybrid;ride;teeter-totter
fleeble2.jpg,portfolio-images,fleeble-flobbler,Fleeble Flobbler,,,,,howhowhow.com,no,medium,artwork photo,charlie-site,250,166,,local,charlie-site;clown;fire-cauldron;fleeble-flobbler;howhowhow;inner-child;mythic-hybrid;ride;teeter-totter
fleeble3.jpg,portfolio-images,fleeble-flobbler,Fleeble Flobbler,,,,,howhowhow.com,no,medium,artwork photo,charlie-site,250,166,,local,charlie-site;clown;fire-cauldron;fleeble-flobbler;howhowhow;inner-child;mythic-hybrid;ride;teeter-totter
L195106-R01-041-19.jpg,portfolio-images,synapses-tour,"Night fire sculpture — twin curved panels with glowing symbol-disc cutouts, embers raining over crowd",,,,,personal,no,low,Film scan; symbol-disc cutouts suggest Synapses-era symbol cauldron — confirm with Charlie,charlie-archive,400,270,2007-08-06,local,community-built;congregation;fire-cauldron;regional-burning-man;symbol-system;synapses-tour
bbbsketchbook.webp,Hand-Drawings,burning-book,First hand-drawings for the Burning Book,Brian's memorial,The Brewery LA,2026,Charlie Smith,sparceland.com/bbb26,no,high,Hand drawing; manifesto text transcribed in Hand-Drawings/_about,charlie-site,1879,1026,,local,book;burning-book;charlie-site;community-built;contraptionism;fire-cauldron;heart;heartbeat;log-sacrifice;memorial;sketch;sparceland
1+burning+book+sketch.webp,Hand-Drawings,burning-book,Burning-book concept sketch,,,2026,Charlie Smith,sparceland.com/bbb26,no,high,Hand drawing,charlie-site,1038,793,,local,book;burning-book;charlie-site;community-built;contraptionism;fire-cauldron;heart;heartbeat;log-sacrifice;memorial;sketch;sparceland
5-BBartistpage.webp,Hand-Drawings,burning-book,Artist-pages concept sketch,,,2026,Charlie Smith,sparceland.com/bbb26,no,high,Hand drawing,charlie-site,770,662,,local,book;burning-book;charlie-site;community-built;contraptionism;fire-cauldron;heart;heartbeat;log-sacrifice;memorial;sketch;sparceland
3-BBopbook+.webp,Hand-Drawings,burning-book,Open-book composition sketch,,,2026,Charlie Smith,sparceland.com/bbb26,no,medium,Sketch/render of heart piercing book,charlie-site,673,550,,local,book;burning-book;charlie-site;community-built;contraptionism;fire-cauldron;heart;heartbeat;log-sacrifice;memorial;sketch;sparceland
fleeble-flobbler__okeechobee-iconic__33130790642.jpg,portfolio-images,fleeble-flobbler,Iconic Okeechobee shot (Charlie/Fleeble),Okeechobee Music Festival,FL,,Kris Krüg,https://www.flickr.com/photos/kk/33130790642/in/album-72157679418239850,yes,high,KK-flagged 'oldie but goodie' HERO SHOT — needs saving into portfolio-images,kk-owned,3307,2205,2017-03-03,local,charlie;clown;fire-cauldron;fleeble-flobbler;flickr;hero;inner-child;kk-photo;mythic-hybrid;okeechobee;ride;teeter-totter
fleeble-flobbler__fleeble-01__25503147015.jpg,portfolio-images,fleeble-flobbler,Fleeble Flobbler,,,,Kris Krüg,https://www.flickr.com/photos/kk/25503147015/in/album-72157665299462772,no,high,KK-shared Fleeble Flobbler photo — needs saving,kk-owned,5000,3333,2016-03-03,local,clown;fire-cauldron;fleeble-flobbler;flickr;inner-child;kk-photo;mythic-hybrid;ride;teeter-totter
fleeble-flobbler__fleeble-02__24876426853.jpg,portfolio-images,fleeble-flobbler,Fleeble Flobbler,,,,Kris Krüg,https://www.flickr.com/photos/kk/24876426853/in/album-72157665299462772,no,high,KK-shared Fleeble Flobbler photo — needs saving,kk-owned,5000,3333,2016-03-03,local,clown;fire-cauldron;fleeble-flobbler;flickr;inner-child;kk-photo;mythic-hybrid;ride;teeter-totter
